Category,Overheads
Salary Expense,15.95
Interest Expense ,0.41
Marketing Expense,22.46
Rental Expense,4.9
Overflow Expense - Retail,0.03
Overflow Expense - Warehouse,0
Penalty Expense,15.24
Shipping Expense,36.81
Human Resource Expense,4.2
